map@5,ndcg@5,precision@5,recall@5,map@10,ndcg@10,precision@10,recall@10,map@20,ndcg@20,precision@20,recall@20,time,PERCENT,N_SAMPLE,MODEL,LAT_DIM,EMB_DIM,INIT_LR,BATCH_SIZE,OPTI,ALPHA,REMARKS
0.03345692599460733,0.4346306375540385,0.4174636174636175,0.04770929398381722,0.04927517714146183,0.4138245317529688,0.3902806652806653,0.08480695138240484,0.07440794970167168,0.4008185773363458,0.3682952182952183,0.1516318844100394,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.03441955297131021,0.4411332606586605,0.4218295218295218,0.04806792739511021,0.05010984258471076,0.4163133028402485,0.3902806652806653,0.0834488133927146,0.07530261395736958,0.4025643341991973,0.3680873180873181,0.15126779980684635,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.034560135345432244,0.4385052871546885,0.4197505197505197,0.0481070148771714,0.050752377626244495,0.4181892032300066,0.3938669438669438,0.0846044334246473,0.07580540114542862,0.4022875103302947,0.3677494802494802,0.15096186195159794,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.03421272670567134,0.4388041892854924,0.4214137214137214,0.047934849234639684,0.049977146712829656,0.4164211621588987,0.3918918918918919,0.08367350387737206,0.07528613328089998,0.4023004650273409,0.3685550935550935,0.150201235346725,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.03412024470645827,0.4387072570237375,0.420997920997921,0.047609998005640614,0.05004222051395252,0.4169643472871329,0.3925675675675676,0.08339530947991668,0.07498058999198866,0.4013002600553896,0.3671777546777547,0.14992699048250574,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.03481256765594727,0.4402136887561145,0.4230769230769231,0.04969939829338853,0.05016171772772447,0.4158408063316871,0.3909043659043659,0.08350009128098114,0.07505924850381364,0.4005635795093024,0.3662681912681913,0.14959127706801734,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.0356277490861028,0.4464539750819129,0.4278586278586279,0.049063403852215866,0.051307436459606816,0.42083924250467375,0.3946465696465697,0.08405270054230678,0.0763084524901204,0.4036848168193544,0.3671517671517672,0.15143714667979816,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.03414621968216227,0.4427548529848976,0.4254677754677755,0.049202679219592205,0.04994186185828136,0.4179857334864876,0.39293139293139295,0.085163566214536,0.07493258172812194,0.4020439318638492,0.36780145530145536,0.14988417893203448,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.034795262217596136,0.4397881341991809,0.4213097713097714,0.048378185985304634,0.05015302306762468,0.41577216177280185,0.3901247401247401,0.0832749150093458,0.07525080532446399,0.4017597276543215,0.36735966735966735,0.1507173080992343,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
0.0345016086699381,0.43993078583980694,0.42255717255717257,0.048203425076295825,0.05032969659316547,0.41692139101171577,0.39251559251559254,0.08409939050982695,0.07532942968225365,0.40171920295965763,0.3674116424116425,0.15091217533372175,1621.6278953552246,1,10000,VAE,256,64,0.001,256,RMSprop,0.01,demo
